timestamp,userId,nick,twitter,dob,country
2012-06-28 06:23:13,879,GUHGpwobob,@fkZ2PCEBB,1965-10-05,BY
2012-06-28 11:27:09,1538,TJJvAMxuWs,@p6anmujx6,1988-05-24,PA
2012-06-28 12:55:43,1599,mbApUQs5,@o0nVqEJ3q,1977-04-29,AS
2012-06-29 16:05:46,1666,FaN0EzeQtGS,@IfgOXSPsH,1992-02-10,KE
2012-06-29 19:01:25,707,OrcQ8hy,@wFpNH0,1993-07-28,PG
2012-06-29 23:20:46,507,EWiXa4XXS7b,@RT4xc,1984-09-21,DM
2012-06-30 03:11:41,1738,rLrm8hxc,@CosWCKmb,1980-02-07,MK
2012-06-30 16:04:24,111,RFS4LjiOL,@52n8pTpwj,1989-07-31,UM
2012-06-30 23:50:44,381,LaV5izw2DO,@koiuAx,1964-09-18,PY
2012-07-01 02:10:03,1708,PfeP08kk,@85ebkH,1967-08-01,LT
2012-07-02 07:16:56,2023,T7wl9eM1s,@99PcG,1976-01-24,TD
2012-07-04 12:56:41,1075,qitXwkl4Yo,@zQyMq3DED,1975-01-12,CK
2012-07-04 22:10:59,1928,H9fuk74TM,@AKat0Is92,1966-02-18,PT
2012-07-04 22:32:35,177,rqbZSye2qD,@PczNquv9h,1952-08-21,LR
2012-07-05 00:35:56,2247,deKfONC3z,@PmV8I,1992-03-17,FJ
2012-07-05 19:34:09,1135,dQs9srR2T,@vjGOXS6,1951-12-15,LS
2012-07-06 08:20:32,976,H92LYgMfbMG,@P7LHesLX,1983-02-02,UA
2012-07-06 09:47:56,1630,BEHJiE0Xjr,@j6lg5,1980-08-17,BR
2012-07-06 18:55:03,1289,gA7en74Dw,@zj0HmtM,1967-11-19,ML
2012-07-06 23:54:34,71,icXoZbk,@DYbuNp,1963-11-16,VN
2012-07-07 10:15:00,963,gq5udnWzBX8,@doFLS,1959-05-31,AN
2012-07-07 21:48:59,1177,CBGg6a5,@yzIfCC,1979-09-18,JP
2012-07-08 07:47:48,1315,RnRq8T9St,@mmGZYzaW,1996-11-10,KZ
2012-07-08 20:54:17,1563,2R0f2MB8e,@bYwkl4,1970-02-27,IS
2012-07-09 02:49:40,1466,mXLB9jVb,@A9rMJ,1951-06-26,CY
2012-07-10 14:42:39,1311,Qirl62m8,@pD97oIrL,1974-11-25,AQ
2012-07-11 15:06:34,537,MToEM2w,@pROiYt,1974-02-16,GR
2012-07-12 06:07:25,2209,z6GsE0BJEh9,@bGCpdEuzs,1967-12-11,ZM
2012-07-12 11:31:50,1691,UATfimY6,@YboTr,1986-06-17,TV
2012-07-12 22:03:20,1391,Xmm2vQ,@NnFlcr,1983-12-03,GH
2012-07-13 04:01:42,1104,sFaPPxkj,@8Var5z,1954-03-11,GE
2012-07-14 14:22:29,70,9edpyAFCa,@8IXCN,1983-12-22,VA
2012-07-15 15:05:43,312,M4d2Tv33dM,@edXoWBI,1979-06-03,NG
2012-07-15 19:38:46,668,xgkNAlZifA,@skromFoD,1988-05-19,KG
2012-07-15 23:04:08,251,WCi3sd,@S5112,1997-07-27,GI
2012-07-17 08:48:59,1736,rZcydUotY,@6WOv2,1972-06-29,ES
2012-07-17 11:38:14,456,FJ748O31VE,@3Peqxg,1958-03-29,VU
2012-07-18 04:37:54,754,EhzszEADsx3,@WM25LSOP,1961-08-26,BN
2012-07-18 10:11:58,1341,WTjLM6,@Vf2QFH1,1993-02-22,GM
2012-07-19 17:52:54,841,cJTbeo,@jQZnx,1964-09-15,GL
2012-07-20 02:37:30,1455,ALu6Mpqzq7,@nUCLopzJv,1995-05-18,LR
2012-07-20 03:02:54,2098,eRV8RDjYJgG,@hGrRt,1984-03-03,MW
2012-07-20 03:21:52,289,DdaeRTC,@7fx8FwDA,1976-09-04,FI
2012-07-20 04:02:09,1631,HxQ0g214zwB,@gw5slmT,1989-07-11,RW
2012-07-20 10:20:22,1065,hOs5Cp,@DFkyp5o,1992-07-26,SM
2012-07-20 11:44:27,594,67eWUX,@L28epkGZ,1989-11-14,LU
2012-07-20 22:40:54,1861,w4DQWTDX,@OsrGiSL3V,1985-09-01,VG
2012-07-21 17:59:26,390,JrxwTi,@Al1PC,1962-04-27,SZ
2012-07-22 04:18:10,1939,kukq76fOk1Z,@jlOGeY,1995-02-25,BT
2012-07-22 09:19:27,605,fy4BdDbCiA,@wiwwQo,1971-10-15,SH
2012-07-22 21:14:08,710,zfQOE4zc,@izgu3,1976-09-18,MG
2012-07-23 21:07:55,34,pikPBZ,@jufiRJ,1965-10-22,CU
2012-07-24 02:41:37,2371,zMvrEIZ,@qFiqaisAB,1989-01-24,BW
2012-07-24 12:51:07,1243,sNlHtiWZ,@jfbiwYZ4W,1981-03-27,AG
2012-07-26 02:34:20,2117,s3hVCcvwO6u,@6ERriO,1992-05-23,HU
2012-07-26 03:03:50,447,oRCbSkTrS7,@wT44sc4D2,1998-02-17,MS
2012-07-26 03:34:13,1185,6Xk0VRLg609,@eD8GZ,1959-11-01,MA
2012-07-26 05:24:00,1578,FvWBEd,@oLUlG5qw,1991-03-07,MC
2012-07-27 02:43:51,684,M55xOKkUMga,@9IbV3xgYe,1948-10-28,PN
2012-07-27 13:35:20,1443,3tvmg9XZo,@TG4Dt,1996-01-07,NR
2012-07-28 16:06:37,1755,Ij8n4bA,@fQ0oIiY,1980-08-31,ID
2012-07-29 10:24:05,1570,05R2T0V,@W0aGrW9,1973-10-28,LY
2012-07-29 19:46:18,187,kBbD0ZnDld,@l0VvlE2x,1985-08-05,VI
2012-07-30 19:03:12,2252,E52UidCOEn,@k3Mh9RQa,1966-02-17,AR
2012-07-31 13:02:20,1584,S1D3C5VPc,@PkbWEdP,1968-02-19,RE
2012-07-31 23:52:03,28,G73nSRDDGp,@ED4836vlA,1963-04-01,FR
2012-08-01 17:26:07,1687,atpk26,@hjkjs,1950-12-20,NG
2012-08-04 08:55:16,349,EqA9W1hVN,@GR14ROSA,1960-07-16,ZA
2012-08-05 02:47:27,595,3wifTnsR8Pu,@hRLpt,1996-12-22,CA
2012-08-05 14:05:34,1611,3D8sCVWEaR,@3H2Hjn,1979-02-06,US
2012-08-06 06:20:00,1956,euKMEkLrZ,@9g3JwDt,1970-03-19,LK
2012-08-07 01:04:51,808,uV53NHb,@YfNRcoE,1965-09-21,GD
2012-08-07 02:33:11,1172,82EO6uLMr,@RIWxPIdOD,1975-04-06,AI
2012-08-07 17:24:01,619,d6atyr0W,@hNFDrDhQG,1979-06-26,SY
2012-08-07 22:46:47,812,JIEpxpte7,@ueZSj,1958-04-28,DO
2012-08-08 02:25:25,1780,qzkrN79lY,@NKeyM3pck,1967-12-01,FJ
2012-08-08 10:26:52,2351,FJURM0aXpui,@VDCEuUDoo,1979-08-06,GE
2012-08-08 11:51:20,852,3yr1jm,@xV18ysdzB,1963-05-10,CA
2012-08-08 20:45:01,2059,TyafT3,@7sk4nYyum,1996-07-29,AE
2012-08-09 00:39:16,1583,yfXNG3sClA,@aEFNN,1995-11-30,AF
2012-08-10 20:43:06,535,e2rQuE1Uw,@Cfqr5KZC,1964-02-07,HN
2012-08-12 02:32:21,490,PiheDd,@Gwo3pW,1988-05-02,LB
2012-08-12 11:22:23,16,9tc3Ty7,@xw90w,1991-01-16,TF
2012-08-14 01:45:23,1889,kUK70w,@S13gLL,1976-09-10,RE
2012-08-14 22:05:25,122,oTvo5MI,@A1sLMsn,1985-03-06,TC
2012-08-15 06:34:14,292,sE66fu7,@dlcVJVH,1990-05-22,SH
2012-08-16 03:30:51,1024,o6zpkCl,@IdPT0,1996-10-01,ZM
2012-08-17 05:51:53,1032,S5LEkQxBqI,@fnjuyCom,1993-08-13,KP
2012-08-17 10:51:22,747,qdEjHRyVtqQ,@uaypUJCls,1966-08-27,FK
2012-08-18 15:54:29,18,ZwJ94UaR6,@eH8X2,1992-10-17,MZ
2012-08-18 17:43:46,358,FkwR9YfGh,@PNJjbEC4,1984-07-01,RS
2012-08-19 06:32:06,1187,DWteMaz,@L8M6EEmV,1978-10-20,AS
2012-08-19 15:34:39,1718,5GBVpW,@2DUd2,1971-03-04,MG
2012-08-19 23:33:57,2123,9fvmOA5v,@PEs2Y,1959-01-10,SK
2012-08-20 02:38:19,1250,igqEtxL,@3a4JrW7,1995-09-23,NU
2012-08-20 11:55:17,1263,tA0GlknMD,@erO8jT7,1988-09-17,GH
2012-08-20 16:13:47,1984,ZmH7pI,@TsYen,1970-03-07,NC
2012-08-21 17:51:57,1011,Ex4Sydl,@9TlyX7,1993-12-08,AM
2012-08-21 20:21:07,2036,0N3LFrOYdx,@g4May0Y,1959-05-09,PT
2012-08-22 07:32:59,1716,3g20F9oTF,@zmXOQHk,1989-01-21,AN
2012-08-22 21:40:01,2297,CAwWtkBVuL4,@iyxvT,1991-03-06,CC
2012-08-22 21:50:36,1840,LSoTfC7TZ,@jPC7f,1978-05-24,PH
2012-08-23 03:57:48,1164,HjyjGfwtM,@dsUf0f,1992-02-24,NG
2012-08-23 09:18:06,916,L2jQ1BFdt,@R4NnJ,1973-04-14,NC
2012-08-23 14:59:00,341,4XCqfJb,@JZAVXI,1974-05-13,CM
2012-08-23 17:45:14,729,keVmuH,@rmg76nc,1960-11-23,TK
2012-08-23 22:04:15,1951,8KutvLZoxnW,@7VQtefwG,1977-12-12,AS
2012-08-24 07:21:33,799,tEYeoJa6j,@ZCjbTxPiF,1974-06-22,KW
2012-08-24 09:57:14,1287,ekfyaqqqQ7j,@z4ydO,1986-05-11,LI
2012-08-24 14:29:12,1737,dRhPzOZQ1,@9DsBCyWq,1974-01-01,IL
2012-08-24 15:01:21,1616,cuqfYi,@QBJioXvKk,1981-05-13,ML
2012-08-25 01:48:06,1938,206JLhyT62,@5RWu8s,1995-01-01,PR
2012-08-25 13:24:59,813,DBPtUnVut,@T68Swo3HA,1984-02-09,KP
2012-08-25 18:14:02,604,ezOA9D,@pt9oKH66W,1994-08-09,BJ
2012-08-27 10:57:41,1757,i5fhYXFo1IX,@nuVqr64,1978-06-28,TC
2012-08-27 19:43:19,1374,1mPzYvb,@yQjQCGWv,1987-07-01,TT
2012-08-29 01:06:24,910,6NU3P9ICE6,@Zkv1BT,1968-05-01,NO
2012-08-30 22:18:42,2336,bzWnIvk4I,@dNzCK,1956-01-03,CG
2012-08-31 10:41:58,850,FhocLP,@wmzGuqCL,1973-04-29,DM
2012-09-02 21:23:41,1196,iQabs6iy,@UOA9JXvkn,1994-04-22,SM
2012-09-03 07:06:24,1981,HOwfeX8oh4Y,@Lh2ZL6,1989-12-02,WF
2012-09-03 12:43:44,320,OU4TK23so7,@lljk3JUoa,1976-04-23,GT
2012-09-04 01:25:30,1007,p08kV4u81a9,@fT4xpNda,1995-08-04,FO
2012-09-04 05:29:33,961,IN0d8LNv,@AIpM5gL,1970-09-15,BF
2012-09-04 05:50:26,1468,IYjaLsZhrvw,@7IHD28,1972-10-07,HT
2012-09-05 06:24:16,955,EQla7LMQQ,@6msDFx,1994-12-27,JM
2012-09-07 07:43:50,779,Kr4BTUgvm6,@ThkHW,1990-11-18,LB
2012-09-07 21:03:39,1791,HAcl4it,@t4m0y7,1960-10-15,NR
2012-09-07 22:23:51,1727,fW9ekoizs,@H3fyjnFUf,1973-06-26,TF
2012-09-08 10:50:26,487,1k5V7aGIs9E,@av3APlBKD,1980-02-18,PG
2012-09-08 15:56:17,1577,Z7dq5GDGX,@EzpzR31D,1983-01-09,LV
2012-09-09 01:34:09,2028,FNxMdVU,@WtQQ6,1981-05-21,LR
2012-09-12 22:56:09,990,i7waxx,@83GiK,1958-12-13,EG
2012-09-13 00:45:19,488,RX5lAmjGk,@QBYBG42,1971-06-25,CO
2012-09-13 17:37:27,544,PJhYvQJ,@Im205x7Q9,1966-04-24,EE
2012-09-13 22:52:23,1274,1elwsWqe,@20hQWPgX,1980-01-05,KG
2012-09-15 16:36:56,1647,I1SKmxo,@MS9yYN1a,1990-06-24,GM
2012-09-15 20:29:08,1432,U7TFkId,@7iyrQkKM,1960-12-22,CH
2012-09-16 09:25:17,112,vdm33tk1,@MPnpCu,1996-01-12,IL
2012-09-16 16:32:08,60,guonDS7qhrW,@wbVEy3q,1996-02-09,PT
2012-09-17 18:07:18,1977,y3VxCRcWTe,@jC1LM,1963-08-23,NA
2012-09-17 18:58:21,1055,9t2q2PVxT,@P5Im3,1994-09-15,PN
2012-09-17 20:46:12,189,2tK79W,@PmAXrP,1997-03-14,GW
2012-09-18 20:19:34,1281,bG508qsV,@YhgM8Hr,1967-08-22,SV
2012-09-20 04:02:35,12,QmA8GoqXpmN,@7IOnLXR,1994-09-18,AO
2012-09-21 05:58:08,1073,dQDTpFAFq0,@Fx2hDpKJJ,1961-07-16,IL
2012-09-23 05:47:43,1648,mgTOyYCy,@8ABkPKBKM,1967-08-10,KW
2012-09-25 17:41:37,2307,Ixkn2c9bJO,@g2l4RHt,1985-04-26,SE
2012-09-25 18:51:53,863,kKh1WX3O8,@SMv5f1zB,1984-02-27,AQ
2012-09-25 21:43:07,2143,JZcMXi,@N98aIrc,1960-07-25,EE
2012-09-26 19:25:43,2020,BG34q96Ya0Q,@qU9uwsoSi,1988-11-30,LS
2012-09-26 22:32:04,971,v2r0VqhzV,@a8KRk,1953-10-17,GD
2012-09-28 06:00:54,849,oxH4ZX9cugL,@3Sw1Mkf,1971-11-26,AT
2012-09-28 06:47:21,2238,CvHpQkZj,@hoNh05j,1976-02-27,NF
2012-09-28 13:20:13,1296,fY41LME5zO,@NDgq4r,1993-09-10,KP
2012-09-28 20:39:41,1764,YJkbEX6VZoQ,@WIXAg,1985-09-03,GN
2012-10-01 00:20:09,1201,JwwYtWYL,@4dulJEa,1995-11-16,CG
2012-10-02 17:28:26,531,VThRlV1w,@K9egxxtMg,1982-07-18,TO
2012-10-02 20:54:16,796,dpwWqD776B,@UxMceYfyY,1969-11-06,GY
2012-10-04 19:08:38,287,IVzdzbmNG,@3IjIRlTT,1951-08-24,JP
2012-10-05 02:51:00,1826,pTH0x0SA,@17PX5mGO5,1993-04-24,SY
2012-10-05 10:05:38,1207,a3OdOYE,@ZFjX14OT,1995-04-30,VI
2012-10-05 11:28:59,1388,X7GfdnBdIK,@PMpmqCzlU,1955-05-06,KE
2012-10-05 11:49:10,1552,BZRjkh,@IKPk1Hb,1987-06-28,SG
2012-10-07 13:19:38,108,yOMvLV7w,@invT3Tv,1996-06-16,LY
2012-10-08 01:09:12,1062,wijDlM6OGVQ,@Dt4ME,1984-02-18,MD
2012-10-08 08:29:36,642,SCIsXE783jn,@vJNhhbhD4,1980-12-03,CO
2012-10-08 21:03:02,1606,xC5VrBe,@CDTie,1985-12-13,AI
2012-10-12 07:14:55,1469,MUkgFZov2w,@0k72Dd,1992-09-13,NI
2012-10-13 00:47:15,194,tiVDBv,@SFV01JkYk,1957-12-06,NL
2012-10-13 01:53:13,1530,Js3MW5,@TgOGA,1994-07-25,US
2012-10-13 17:12:50,273,V20JV3Amg,@qq1ze,1986-03-13,AS
2012-10-13 17:31:31,948,F7vMxfT,@FGOoB3A8,1956-09-06,AZ
2012-10-14 09:23:33,1448,Ck0IGWsEqlm,@g6DyQ,1988-10-09,BA
2012-10-14 10:31:36,618,uL6hVwqHFUJ,@go3G7B,1967-04-23,BN
2012-10-14 10:34:05,694,f1IC0BsiocF,@2kaJdT,1991-01-17,MT
2012-10-15 00:38:45,632,rdCojYqi,@oXCBKD,1978-02-20,BE
2012-10-15 19:32:13,860,BYfrHS5CP0P,@zgAUom,1952-05-08,IQ
2012-10-15 22:57:09,1873,OkWufN4YT,@5byif,1986-12-02,KR
2012-10-17 01:32:42,528,iPoBoSuT,@zluu6Ke,1965-08-24,ID
2012-10-17 18:03:48,2186,FSsVeT,@8GuBD10Lh,1981-07-27,RO
2012-10-18 10:32:43,523,aN2VWve8N9O,@H2shS,1989-09-28,KY
2012-10-18 16:30:39,1474,m511PB8lepL,@Auqk9st5r,1970-07-31,KZ
2012-10-18 16:56:45,1331,xqi5weSXP,@C41rjG,1996-07-21,ME
2012-10-21 00:27:49,509,KkdfY1,@j3cXXO,1967-11-18,NI
2012-10-21 01:13:24,1077,Bfskpa0qCT,@PL96c,1987-01-24,GQ
2012-10-22 04:02:59,96,jUx26Gc,@0uA7dOt,1996-02-02,GT
2012-10-22 17:21:19,1080,COkqdWJmaxP,@AmK2V5Sg,1986-01-19,GM
2012-10-23 06:59:40,298,WOrn6FTYk,@0pX81olR,1986-12-23,BS
2012-10-24 01:19:16,256,oSxHWjI,@rXBuUTylW,1981-02-27,FO
2012-10-25 15:04:58,2069,N6JupuLJlF,@vScMkHm,1981-03-10,MV
2012-10-25 15:16:00,1181,FqLdUaU,@6gThDkkB5,1954-10-06,UG
2012-10-25 15:47:29,1480,M0hv6H5,@jVkiW,1980-03-04,PS
2012-10-26 03:35:07,445,dtCMY1S,@wGT1Ssjp,1979-11-08,NE
2012-10-26 13:53:25,1720,MnI3Vg7qL,@SDXswt5,1992-04-26,CY
2012-10-26 17:20:26,398,EA6mMk,@HjL5j,1970-01-01,PW
2012-10-26 18:35:54,437,vOsskQd7,@454MN,1966-02-19,AQ
2012-10-26 22:47:41,1693,qQFjhFgT,@R795vmQ,1988-05-14,LK
2012-10-27 02:31:59,1395,Xm2mgNAWW,@ughfR,1984-09-13,LR
2012-10-27 10:16:48,1487,yMDGPgjfa,@HdgaA6ndw,1969-10-16,SC
2012-10-28 01:52:00,1411,293J21LWL,@qa4UhU0ho,1981-04-06,ET
2012-10-29 18:05:26,1223,PwSlNCaSv,@vqa1Kxou,1993-10-17,UM
2012-10-30 09:44:06,1883,WsG5Rh,@2dZdpwiEX,1954-05-31,VA
2012-10-30 22:41:16,1920,n9rDckeo,@XiSR6,1958-09-10,NI
2012-11-01 02:04:27,1787,pL3fP5,@Ne0dHl,1965-08-04,CX
2012-11-01 02:19:50,1017,fJD4mAbw,@tQtXAVl,1974-11-25,MU
2012-11-03 20:47:42,1102,orAZb4Y,@p0ahst0N,1994-04-18,BR
2012-11-04 00:18:16,1488,b4FwR4OZfxh,@1o63i,1978-01-24,FR
2012-11-04 11:37:20,1099,Ky1I7Qr,@SGDli0UZf,1989-05-03,AS
2012-11-04 22:10:53,47,SdothqKFpXG,@ZXUIKZW9,1972-02-22,CV
2012-11-05 00:34:46,1276,MZ1TmxXFjd,@qJsyEX,1997-04-22,FM
2012-11-05 11:49:24,2003,qjYt75vj98,@YTiqDRh,1969-10-30,TG
2012-11-05 12:39:16,1256,NErIBLsC,@YbJUOS,1986-07-21,IT
2012-11-07 10:28:39,1402,0MqXy1OMYyy,@VLyfUp,1997-02-25,GF
2012-11-07 13:25:34,741,GyEdcivX,@uhIqojD,1980-04-27,IR
2012-11-07 15:42:42,2331,XbVGozDTCyY,@0kbAy8l,1960-02-06,JM
2012-11-07 23:03:19,2231,yGvIzL,@Uliz20Grw,1973-08-04,CO
2012-11-08 00:09:34,1834,sK4S02mPx,@NoqqS,1997-04-20,AG
2012-11-09 00:54:50,1394,Isve4Dg,@2XxjrD,1976-04-02,NO
2012-11-09 03:53:29,424,pVfPzun,@1TQNEsqYG,1950-10-29,LB
2012-11-09 04:03:50,1699,7TS916bE,@8Xykwzviu,1975-07-04,KM
2012-11-09 11:03:08,1988,cuJJ2C7qY,@1omX4JY,1974-07-25,BV
2012-11-10 00:16:06,1635,4OdOTSe,@FhE6Wg,1972-02-19,CI
2012-11-10 05:36:49,1852,P1EwX3A,@os8zAaW,1981-09-29,SY
2012-11-10 15:20:39,1121,ZeH65X5I60,@ZgqSR,1954-06-26,BZ
2012-11-11 03:42:14,719,A4PHrqc,@Spjk5Y,1971-11-22,OM
2012-11-11 09:39:14,1298,oyyjSvZp8,@ZO9Ik24,1966-07-26,AQ
2012-11-11 20:56:28,1604,q39fRa,@ph9Hq,1968-09-09,TJ
2012-11-12 08:34:42,904,nEQCLo,@CI0542v,1985-11-09,MU
2012-11-12 16:08:19,219,PVxkQbd9ok3,@tfUVQnNnD,1994-07-04,CY
2012-11-12 19:19:27,1418,Hz8pngm39,@z5y0G4yE,1963-07-10,BD
2012-11-13 03:16:36,1857,uSGlfg,@5VubvXK,1949-10-17,LB
2012-11-13 08:57:58,1398,p6GoaYf3,@kTUqed6G5,1997-03-26,SD
2012-11-13 18:57:09,1684,zKDkfvy5,@GQ8n0,1995-08-09,HM
2012-11-14 11:55:35,690,J2GHey,@AAAMC,1997-09-18,MC
2012-11-15 04:36:06,1927,2Vpr7REO,@RZfqfh,1963-04-24,KV
2012-11-15 20:20:11,1363,95AsGK,@KViAIJt,1997-05-13,BW
2012-11-16 20:20:02,77,cbTxrBmoIh,@v5TGdO4G,1997-01-03,SR
2012-11-17 01:07:10,428,NR6bBYSXSD,@BeyDG,1988-03-22,VE
2012-11-17 19:43:05,2011,9FIWpA3d,@AP7Ira5,1974-03-04,MT
2012-11-18 10:04:01,1601,mIFDhkXZ6p,@lrnJyVen,1974-09-24,AS
2012-11-19 13:00:05,368,FJ0wXy5o,@fRPDT8,1998-03-19,AT
2012-11-19 14:24:22,1868,tzjYhG,@0fGI1,1970-07-02,GA
2012-11-20 23:44:42,592,39vRZB,@SecZi,1951-10-05,CD
2012-11-21 07:48:39,567,2T4PftXxl,@meWNFQV,1955-04-09,MO
2012-11-21 11:14:48,1574,s2fsHE,@L8QdBRf,1987-10-03,IO
2012-11-23 21:22:33,1831,TXJdiRqIUhP,@PLHyI8,1983-05-11,GS
2012-11-24 00:05:52,946,FyS9wgjs3w,@dNOjiFXS,1987-06-19,PS
2012-11-24 08:50:38,283,4BUk3w,@YbiGxbMG,1992-02-01,GP
2012-11-24 10:34:31,132,tWQpQhG1e,@mAaWfNL3,1994-12-20,KI
2012-11-24 16:27:40,241,XydBaX9LQ,@eBNJiC,1986-03-17,HR
2012-11-25 01:26:05,2292,OK5kfmHxP,@YvzOUJcY,1993-10-16,NI
2012-11-25 07:16:57,1174,U37tSjHMCo,@O3tF6aY7H,1992-01-05,VI
2012-11-25 09:26:36,2093,Ewvbpi8,@sRX2al,1970-06-13,AW
2012-11-26 14:10:16,426,TRu6UF2S4nP,@LqpqU64kB,1986-11-09,AZ
2012-11-26 18:49:06,1609,60RoC4,@1ODQsDMFO,1988-09-03,BZ
2012-11-27 07:04:34,250,3IEGFcQ,@ahLPffJpW,1988-06-15,CL
2012-11-28 05:25:24,2227,r7DOMZg7DGT,@gCnPkx,1975-06-30,ST
2012-11-28 12:55:10,676,mpuMQdOas,@axy2Q,1995-03-30,JM
2012-11-28 21:51:07,138,opv3kn,@8NDj0Uy6,1969-08-15,KN
2012-11-29 00:41:07,407,UjDG3gEE83,@tBtcsq0,1976-09-21,GT
2012-11-29 00:52:32,81,D4Krj7II,@Lc5gAdfK4,1984-03-04,AO
2012-11-29 03:55:20,2053,HL55hmd,@3USY3laXc,1963-10-08,TJ
2012-11-29 05:52:42,1162,tSTsUL,@s9uYIMk,1968-08-03,GL
2012-11-29 09:59:14,1043,OYzRvge,@6iAP3lNU,1968-11-05,SN
2012-11-29 21:03:17,2216,PdttMk5m9,@sJ7T0Z,1974-08-25,DJ
2012-12-01 20:22:01,431,E7h7gDC8xB,@xfcOB5,1988-03-30,NI
2012-12-02 08:04:50,1384,jQLMlHap,@Vb91RIwM,1972-11-25,GQ
2012-12-04 06:31:36,706,yky6NvU3lDp,@h9WnyGF2m,1980-12-23,ZW
2012-12-04 12:41:00,655,VR0jo3kNNOx,@HMw1an,1971-01-22,EE
2012-12-04 15:56:33,266,Ywswax,@isTiQ,1961-08-01,SM
2012-12-05 13:25:54,1677,V4h6yzJG,@WzbQTWA,1997-04-21,IN
2012-12-06 01:40:45,1475,ICuHgokfIhQ,@ALSlCaL,1987-03-23,TZ
2012-12-06 07:17:18,1333,cpDoQb,@B1PGr17bK,1990-04-10,ES
2012-12-07 00:44:34,1592,SvHvvWYv,@c4JqH,1973-09-03,LY
2012-12-07 04:39:15,997,MS9ioFp3jDt,@K3kRk,1979-12-06,VC
2012-12-07 07:30:10,2314,JEw0ifrgrP,@e2rspdvau,1984-05-25,SR
2012-12-07 20:49:22,1750,GCUCg4K,@lGja9k10a,1997-05-07,SB
2012-12-07 23:46:19,1690,dlcABCQ5yxC,@NuRLucE,1959-07-02,TK
2012-12-08 12:42:56,1845,vjy8irb1QU,@3VHBMe0,1991-12-22,NE
2012-12-08 18:13:15,883,vp3gate1,@T9fx8,1991-07-20,DZ
2012-12-09 18:48:56,1531,96O6W8,@18ILmPaF,1980-10-09,DK
2012-12-09 22:14:53,687,JTKZNf3rmtp,@mCOekxSI,1977-01-17,FO
2012-12-10 04:26:53,224,OkzYRUQ9MV,@EZppXw88S,1991-05-12,GT
2012-12-10 15:19:11,2149,pfeZEYz7qE,@Wlp8hvF,1984-07-27,VE
2012-12-12 21:06:06,174,Hxa4d8FT,@gpu8Sq,1997-03-08,EH
2012-12-13 03:53:26,23,p3qcci7Bbyn,@mvrR75l,1987-11-17,MU
2012-12-13 20:25:13,1576,fl3seURMD3P,@KCbaOfZv,1975-12-24,NF
2012-12-14 23:16:34,1751,VxbEiSgS,@yYvhae,1948-10-11,MV
2012-12-15 07:25:55,1582,TrDAJg8i3,@tJXba,1985-04-05,SA
2012-12-15 16:05:58,2210,3dRzskYTm,@LMbVXs4n,1965-04-06,JM
2012-12-16 03:24:31,1627,hxtWkss,@I8UVCsLY,1975-05-20,NZ
2012-12-16 04:54:28,1952,VpenaPVBu,@m5g1JWp,1979-03-01,VU
2012-12-16 05:17:17,120,KPMAKmhV,@UIK87xxH,1977-01-04,JM
2012-12-16 20:27:51,1456,qp2YASdKBr5,@lVzXoUwZ,1983-07-14,LS
2012-12-17 01:29:52,713,sqfM8pxukt,@MNyeLXk,1981-12-17,OM
2012-12-17 02:01:37,21,4pePYoZ,@q3gR0puh9,1948-10-31,RU
